frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
272,9051.4,31,478,450,,,,,,,,,,,,,,,
273,9083.7,33,482,425,,,,,,,,,,,,,,,
274,9116.3,33,479,394,,,,,,,,,,,,,,,
275,9150.8,33,483,365,,,,,,,,,,,,,,,
276,9182.8,32,484,338,,,,,,,,,,,,,,,
277,9215.2,30,484,318,,,,,,,,,,,,,,,
278,9250.7,29,485,306,,,,,,,,,,,,,,,
279,9282.8,29,487,305,,,,,,,,,,,,,,,
280,9314.9,29,487,314,,,,,,,,,,,,,,,
281,9353.4,31,486,332,,,,,,,,,,,,,,,
282,9382.7,31,488,357,,,,,,,,,,,,,,,
283,9415.4,31,487,384,,,,,,,,,,,,,,,
284,9450.7,31,488,414,,,,,,,,,,,,,,,
285,9483.0,30,490,440,,,,,,,,,,,,,,,
286,9515.0,29,491,461,,,,,,,,,,,,,,,
287,9550.9,28,492,473,,,,,,,,,,,,,,,
288,9583.1,29,493,475,,,,,,,,,,,,,,,
289,9616.2,29,492,468,,,,,,,,,,,,,,,
290,9651.6,31,491,451,,,,,,,,,,,,,,,
291,9691.2,32,492,426,,,,,,,,,,,,,,,
292,9715.1,33,491,396,,,,,,,,,,,,,,,
293,9757.4,34,491,365,,,,,,,,,,,,,,,
294,9782.9,32,492,339,,,,,,,,,,,,,,,
295,9815.0,31,491,318,,,,,,,,,,,,,,,
296,9850.8,29,491,305,,,,,,,,,,,,,,,
297,9883.1,29,491,304,,,,,,,,,,,,,,,
298,9914.9,29,489,312,,,,,,,,,,,,,,,
299,9954.1,31,488,329,,,,,,,,,,,,,,,
300,9982.9,33,487,354,,,,,,,,,,,,,,,
301,10017.2,32,485,382,,,,,,,,,,,,,,,
302,10051.0,32,484,412,,,,,,,,,,,,,,,
303,10083.2,31,482,437,,,,,,,,,,,,,,,
304,10114.9,30,483,459,,,,,,,,,,,,,,,
305,10150.6,29,483,471,,,,,,,,,,,,,,,
306,10182.7,29,483,475,,,,,,,,,,,,,,,
307,10215.2,30,482,468,,,,,,,,,,,,,,,
308,10250.9,31,482,451,,,,,,,,,,,,,,,
309,10282.9,33,482,426,,,,,,,,,,,,,,,
310,10316.1,33,482,396,,,,,,,,,,,,,,,
311,10351.2,33,481,367,,,,,,,,,,,,,,,
312,10382.9,32,483,339,,,,,,,,,,,,,,,
313,10415.3,31,483,319,,,,,,,,,,,,,,,
314,10450.8,29,485,307,,,,,,,,,,,,,,,
315,10482.9,29,486,305,,,,,,,,,,,,,,,
316,10515.2,29,485,313,,,,,,,,,,,,,,,
317,10550.8,31,486,330,,,,,,,,,,,,,,,
318,10582.9,32,488,355,,,,,,,,,,,,,,,
319,10615.3,32,486,383,,,,,,,,,,,,,,,
320,10650.8,31,484,412,,,,,,,,,,,,,,,
321,10682.8,31,486,438,,,,,,,,,,,,,,,
322,10717.2,29,488,459,,,,,,,,,,,,,,,
323,10751.2,29,490,472,,,,,,,,,,,,,,,
324,10783.0,28,490,475,,,,,,,,,,,,,,,
325,10815.0,29,491,469,,,,,,,,,,,,,,,
326,10850.7,31,490,453,,,,,,,,,,,,,,,
327,10883.1,33,491,427,,,,,,,,,,,,,,,
328,10915.4,32,491,399,,,,,,,,,,,,,,,
329,10951.1,34,492,369,,,,,,,,,,,,,,,
330,10983.6,32,489,341,,,,,,,,,,,,,,,
331,11015.6,31,490,319,,,,,,,,,,,,,,,
332,11051.9,30,490,307,,,,,,,,,,,,,,,
333,11083.0,29,491,304,,,,,,,,,,,,,,,
334,11115.0,30,489,311,,,,,,,,,,,,,,,
335,11152.2,30,488,328,,,,,,,,,,,,,,,
336,11182.9,32,488,352,,,,,,,,,,,,,,,
337,11215.0,32,484,379,,,,,,,,,,,,,,,
338,11251.0,33,487,408,,,,,,,,,,,,,,,
339,11283.3,31,485,436,,,,,,,,,,,,,,,
340,11315.5,30,486,458,,,,,,,,,,,,,,,
341,11351.0,29,486,471,,,,,,,,,,,,,,,
342,11382.9,29,486,474,,,,,,,,,,,,,,,
343,11422.7,29,485,469,,,,,,,,,,,,,,,
