frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
235,7820.8,29,491,265,,,,,,,,,,,,,,,
236,7853.3,30,489,273,,,,,,,,,,,,,,,
237,7884.8,32,487,291,,,,,,,,,,,,,,,
238,7918.4,33,487,318,,,,,,,,,,,,,,,
239,7952.8,32,484,351,,,,,,,,,,,,,,,
240,7984.7,31,484,386,,,,,,,,,,,,,,,
241,8017.0,31,483,418,,,,,,,,,,,,,,,
242,8053.2,30,484,444,,,,,,,,,,,,,,,
243,8084.8,29,483,460,,,,,,,,,,,,,,,
244,8117.9,28,484,464,,,,,,,,,,,,,,,
245,8152.9,30,484,456,,,,,,,,,,,,,,,
246,8185.0,33,483,434,,,,,,,,,,,,,,,
247,8217.2,34,484,404,,,,,,,,,,,,,,,
248,8253.0,35,488,370,,,,,,,,,,,,,,,
249,8285.3,33,489,333,,,,,,,,,,,,,,,
250,8317.2,33,492,302,,,,,,,,,,,,,,,
251,8353.2,31,495,279,,,,,,,,,,,,,,,
252,8387.3,30,495,267,,,,,,,,,,,,,,,
253,8417.1,30,497,266,,,,,,,,,,,,,,,
254,8452.9,31,499,277,,,,,,,,,,,,,,,
255,8486.4,32,500,299,,,,,,,,,,,,,,,
256,8517.1,33,506,328,,,,,,,,,,,,,,,
257,8553.4,33,504,361,,,,,,,,,,,,,,,
258,8584.8,32,506,396,,,,,,,,,,,,,,,
259,8616.9,32,505,426,,,,,,,,,,,,,,,
260,8653.6,30,506,450,,,,,,,,,,,,,,,
261,8686.4,29,508,462,,,,,,,,,,,,,,,
262,8716.9,30,507,462,,,,,,,,,,,,,,,
263,8752.8,32,507,448,,,,,,,,,,,,,,,
264,8784.8,33,503,424,,,,,,,,,,,,,,,
265,8816.9,34,504,392,,,,,,,,,,,,,,,
266,8852.8,35,502,356,,,,,,,,,,,,,,,
267,8884.9,34,500,320,,,,,,,,,,,,,,,
268,8917.1,34,497,292,,,,,,,,,,,,,,,
269,8953.1,31,499,273,,,,,,,,,,,,,,,
270,8984.6,30,496,264,,,,,,,,,,,,,,,
271,9016.6,30,493,269,,,,,,,,,,,,,,,
272,9052.7,32,490,284,,,,,,,,,,,,,,,
273,9085.1,33,488,309,,,,,,,,,,,,,,,
274,9116.9,32,487,341,,,,,,,,,,,,,,,
275,9153.5,32,486,374,,,,,,,,,,,,,,,
276,9184.9,32,486,408,,,,,,,,,,,,,,,
277,9223.0,31,483,436,,,,,,,,,,,,,,,
278,9253.2,30,483,456,,,,,,,,,,,,,,,
279,9284.9,28,484,464,,,,,,,,,,,,,,,
280,9316.9,29,483,459,,,,,,,,,,,,,,,
281,9356.8,31,483,443,,,,,,,,,,,,,,,
282,9385.1,33,485,416,,,,,,,,,,,,,,,
283,9416.9,33,486,381,,,,,,,,,,,,,,,
284,9452.7,34,487,346,,,,,,,,,,,,,,,
285,9484.9,34,491,312,,,,,,,,,,,,,,,
286,9516.7,32,489,286,,,,,,,,,,,,,,,
