frame_no,timestamp,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
269,8948.0,31,499,717,,,,,,,,,,,,,,,
270,8979.4,30,502,732,,,,,,,,,,,,,,,
271,9011.3,30,505,742,,,,,,,,,,,,,,,
272,9047.7,29,507,747,,,,,,,,,,,,,,,
273,9079.3,29,509,747,,,,,,,,,,,,,,,
274,9111.9,30,512,743,,,,,,,,,,,,,,,
275,9147.2,30,513,733,,,,,,,,,,,,,,,
276,9179.4,31,514,719,,,,,,,,,,,,,,,
277,9211.7,32,516,700,,,,,,,,,,,,,,,
278,9247.3,33,518,680,,,,,,,,,,,,,,,
279,9279.6,33,517,659,,,,,,,,,,,,,,,
280,9311.5,33,518,637,,,,,,,,,,,,,,,
281,9347.7,32,516,617,,,,,,,,,,,,,,,
282,9379.2,31,518,600,,,,,,,,,,,,,,,
283,9412.1,30,518,586,,,,,,,,,,,,,,,
284,9447.2,29,519,576,,,,,,,,,,,,,,,
285,9479.1,29,517,571,,,,,,,,,,,,,,,
286,9511.5,28,516,571,,,,,,,,,,,,,,,
287,9547.2,29,516,576,,,,,,,,,,,,,,,
288,9579.1,29,513,586,,,,,,,,,,,,,,,
289,9611.7,30,510,600,,,,,,,,,,,,,,,
290,9647.8,31,505,616,,,,,,,,,,,,,,,
291,9679.4,32,505,636,,,,,,,,,,,,,,,
292,9711.4,33,501,657,,,,,,,,,,,,,,,
293,9747.6,32,499,678,,,,,,,,,,,,,,,
294,9779.7,32,495,699,,,,,,,,,,,,,,,
295,9811.4,32,494,717,,,,,,,,,,,,,,,
296,9847.6,30,493,732,,,,,,,,,,,,,,,
297,9879.4,30,492,743,,,,,,,,,,,,,,,
298,9913.4,29,491,749,,,,,,,,,,,,,,,
299,9947.4,30,491,750,,,,,,,,,,,,,,,
300,9979.4,30,490,745,,,,,,,,,,,,,,,
301,10011.4,31,489,736,,,,,,,,,,,,,,,
302,10048.0,31,489,722,,,,,,,,,,,,,,,
303,10079.3,33,488,704,,,,,,,,,,,,,,,
304,10111.7,33,491,683,,,,,,,,,,,,,,,
305,10147.3,33,491,661,,,,,,,,,,,,,,,
306,10179.7,32,491,640,,,,,,,,,,,,,,,
307,10211.7,32,494,620,,,,,,,,,,,,,,,
308,10247.6,31,496,602,,,,,,,,,,,,,,,
309,10279.2,31,500,588,,,,,,,,,,,,,,,
310,10311.5,30,503,577,,,,,,,,,,,,,,,
311,10347.5,29,504,571,,,,,,,,,,,,,,,
312,10379.7,29,506,571,,,,,,,,,,,,,,,
313,10412.6,29,508,576,,,,,,,,,,,,,,,
314,10447.3,29,509,585,,,,,,,,,,,,,,,
315,10479.7,30,511,599,,,,,,,,,,,,,,,
316,10511.8,31,511,614,,,,,,,,,,,,,,,
317,10547.7,32,512,633,,,,,,,,,,,,,,,
318,10579.7,31,514,654,,,,,,,,,,,,,,,
319,10612.9,31,516,675,,,,,,,,,,,,,,,
320,10647.4,31,516,695,,,,,,,,,,,,,,,
321,10679.4,30,517,714,,,,,,,,,,,,,,,
322,10712.0,30,518,729,,,,,,,,,,,,,,,
323,10747.9,29,519,740,,,,,,,,,,,,,,,
324,10779.4,29,521,746,,,,,,,,,,,,,,,
325,10811.3,29,520,747,,,,,,,,,,,,,,,
326,10847.4,29,520,744,,,,,,,,,,,,,,,
327,10879.4,30,518,735,,,,,,,,,,,,,,,
328,10911.6,31,518,721,,,,,,,,,,,,,,,
329,10947.5,31,515,704,,,,,,,,,,,,,,,
330,10979.7,32,514,684,,,,,,,,,,,,,,,
331,11011.8,32,514,663,,,,,,,,,,,,,,,
332,11047.6,32,510,641,,,,,,,,,,,,,,,
333,11079.5,31,510,622,,,,,,,,,,,,,,,
334,11111.7,31,507,603,,,,,,,,,,,,,,,
335,11147.8,30,508,589,,,,,,,,,,,,,,,
336,11179.3,29,506,578,,,,,,,,,,,,,,,
337,11211.5,29,504,572,,,,,,,,,,,,,,,
338,11248.0,29,503,571,,,,,,,,,,,,,,,
339,11279.2,29,501,576,,,,,,,,,,,,,,,
340,11311.6,30,500,585,,,,,,,,,,,,,,,
341,11347.2,31,497,598,,,,,,,,,,,,,,,
342,11379.4,31,497,615,,,,,,,,,,,,,,,
343,11411.4,32,494,633,,,,,,,,,,,,,,,
344,11447.6,31,494,654,,,,,,,,,,,,,,,
345,11479.6,32,493,675,,,,,,,,,,,,,,,
346,11511.9,31,494,696,,,,,,,,,,,,,,,
347,11547.5,31,494,714,,,,,,,,,,,,,,,
348,11579.3,30,495,729,,,,,,,,,,,,,,,
349,11611.4,30,497,741,,,,,,,,,,,,,,,
350,11647.9,29,498,747,,,,,,,,,,,,,,,
351,11679.4,29,500,749,,,,,,,,,,,,,,,
352,11715.1,30,502,745,,,,,,,,,,,,,,,
353,11748.1,30,503,737,,,,,,,,,,,,,,,
354,11779.4,31,505,723,,,,,,,,,,,,,,,
355,11811.4,31,509,706,,,,,,,,,,,,,,,
356,11847.3,32,510,686,,,,,,,,,,,,,,,
357,11883.2,32,512,664,,,,,,,,,,,,,,,
358,11911.7,32,515,643,,,,,,,,,,,,,,,
359,11947.3,32,517,622,,,,,,,,,,,,,,,
360,11979.0,31,520,604,,,,,,,,,,,,,,,
361,12011.6,30,522,589,,,,,,,,,,,,,,,
362,12047.8,29,524,579,,,,,,,,,,,,,,,
363,12079.2,28,526,572,,,,,,,,,,,,,,,
364,12111.4,28,527,571,,,,,,,,,,,,,,,
365,12147.2,29,527,575,,,,,,,,,,,,,,,
366,12179.3,29,527,583,,,,,,,,,,,,,,,
367,12211.5,30,528,596,,,,,,,,,,,,,,,
368,12247.2,30,528,613,,,,,,,,,,,,,,,
369,12280.8,31,526,631,,,,,,,,,,,,,,,
370,12311.9,31,526,652,,,,,,,,,,,,,,,
371,12347.2,31,526,673,,,,,,,,,,,,,,,
372,12379.9,31,524,693,,,,,,,,,,,,,,,
373,12415.8,30,522,712,,,,,,,,,,,,,,,
374,12447.6,30,521,728,,,,,,,,,,,,,,,
375,12479.8,29,519,739,,,,,,,,,,,,,,,
376,12511.5,30,517,746,,,,,,,,,,,,,,,
377,12547.5,29,515,749,,,,,,,,,,,,,,,
378,12579.4,30,512,745,,,,,,,,,,,,,,,
379,12611.3,30,510,737,,,,,,,,,,,,,,,
380,12647.5,31,508,725,,,,,,,,,,,,,,,
381,12679.5,31,507,707,,,,,,,,,,,,,,,
382,12711.3,33,505,688,,,,,,,,,,,,,,,
383,12747.8,33,504,667,,,,,,,,,,,,,,,
384,12781.1,32,502,645,,,,,,,,,,,,,,,
385,12811.9,32,502,625,,,,,,,,,,,,,,,
386,12847.9,31,501,607,,,,,,,,,,,,,,,
387,12880.2,31,500,591,,,,,,,,,,,,,,,
388,12911.5,30,501,580,,,,,,,,,,,,,,,
389,12947.5,29,501,573,,,,,,,,,,,,,,,
390,12979.7,29,501,572,,,,,,,,,,,,,,,
391,13011.5,29,501,576,,,,,,,,,,,,,,,
392,13047.2,29,502,584,,,,,,,,,,,,,,,
393,13079.1,30,502,596,,,,,,,,,,,,,,,
394,13111.7,31,502,612,,,,,,,,,,,,,,,
395,13147.5,31,505,631,,,,,,,,,,,,,,,
396,13179.1,32,506,651,,,,,,,,,,,,,,,
397,13211.5,31,507,671,,,,,,,,,,,,,,,
398,13247.3,31,510,691,,,,,,,,,,,,,,,
399,13279.4,31,511,710,,,,,,,,,,,,,,,
400,13311.4,30,512,725,,,,,,,,,,,,,,,
